[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,172 | :/Application/Keyboard/bindings-resolve9.txt: Key sequence Ctrl+Shift+, defined by viewStereoSwitchEyeLeft and editNudgeSwapEditReverse
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,172 | :/Application/Keyboard/bindings-resolve9.txt: Key sequence Shift+C defined by trimSelectAudioEditPoint and clipShowCurveEditor
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,172 | :/Application/Keyboard/bindings-resolve9.txt: Key sequence Ctrl+Shift+. defined by editNudgeSwapEditForward and viewStereoSwitchEyeRight
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,174 | After merging custom hotkeys: Key sequence Up defined by controlClipPrev and fairlightActionsPanTracksUp
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,174 | After merging custom hotkeys: Key sequence Down defined by fairlightActionsPanTracksDown and controlClipNext
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,174 | After merging custom hotkeys: Key sequence Ctrl+Shift+, defined by viewStereoSwitchEyeLeft and editNudgeSwapEditReverse
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,174 | After merging custom hotkeys: Key sequence Shift+C defined by trimSelectAudioEditPoint and clipShowCurveEditor
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,174 | After merging custom hotkeys: Key sequence Ctrl+Shift+. defined by editNudgeSwapEditForward and viewStereoSwitchEyeRight
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,175 | After merging custom hotkeys: Key sequence Left defined by controlStepReverse and fairlightActionsJumpLeft
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:14,175 | After merging custom hotkeys: Key sequence Right defined by controlStepForward and fairlightActionsJumpRight
[0x000022ec] | UI                   | WARN  | 2017-09-28 01:34:14,989 | Failed to load media metadata preset list or the list is empty.
[0x000022ec] | UI                   | WARN  | 2017-09-28 01:34:15,001 | Failed to load media metadata preset list or the list is empty.
[0x000022ec] | UI                   | WARN  | 2017-09-28 01:34:15,342 | Failed to load media metadata preset list or the list is empty.
[0x000022ec] | UI                   | WARN  | 2017-09-28 01:34:15,357 | Failed to load media metadata preset list or the list is empty.
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:15,448 | Missing ActionDefinition for trimSlidePlayheadToIn
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:15,448 | Missing ActionDefinition for trimSlidePlayheadToOut
[0x000022ec] | UI                   | WARN  | 2017-09-28 01:34:15,643 | Failed to load media metadata preset list or the list is empty.
[0x000022ec] | UI                   | WARN  | 2017-09-28 01:34:15,656 | Failed to load media metadata preset list or the list is empty.
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:15,792 | Missing ActionDefinition for workspaceRemoteGrading
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:15,808 | Missing ActionDefinition for sessionDolbyVisionAnalyzeAllShots
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:15,808 | Missing ActionDefinition for sessionDolbyVisionAnalyzeSelectedShots
[0x000022ec] | UI.ActionConnector   | WARN  | 2017-09-28 01:34:15,808 | Missing ActionDefinition for sessionDolbyVisionAnalyzeSelectedAndGroup
