@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
156,'2018/03/13 16:15:42:043',2,69,392,0.08,0.28,0.39
157,'2018/03/13 16:15:42:060',2,69,392,0.08,0.28,0.39
158,'2018/03/13 16:15:42:076',2,69,392,0.08,0.28,0.39
159,'2018/03/13 16:15:42:093',2,69,392,0.08,0.28,0.39
160,'2018/03/13 16:15:42:110',2,69,392,0.08,0.28,0.39
161,'2018/03/13 16:15:42:126',2,69,392,0.08,0.28,0.39
162,'2018/03/13 16:15:42:143',2,69,392,0.08,0.28,0.39
163,'2018/03/13 16:15:42:160',2,69,392,0.08,0.28,0.39
164,'2018/03/13 16:15:42:176',2,69,392,0.08,0.28,0.39
165,'2018/03/13 16:15:42:193',2,69,392,0.08,0.28,0.39
166,'2018/03/13 16:15:42:210',2,69,392,0.08,0.28,0.39
167,'2018/03/13 16:15:42:226',2,69,392,0.08,0.28,0.39
168,'2018/03/13 16:15:42:243',2,69,392,0.08,0.28,0.39
169,'2018/03/13 16:15:42:260',2,69,392,0.08,0.28,0.39
170,'2018/03/13 16:15:42:276',2,69,392,0.08,0.28,0.39
171,'2018/03/13 16:15:42:293',2,69,392,0.08,0.28,0.39
172,'2018/03/13 16:15:42:310',2,69,392,0.08,0.28,0.39
173,'2018/03/13 16:15:42:326',2,69,392,0.08,0.28,0.39
174,'2018/03/13 16:15:42:343',2,69,392,0.08,0.28,0.39
175,'2018/03/13 16:15:42:360',2,69,392,0.08,0.28,0.39
176,'2018/03/13 16:15:42:376',2,69,392,0.08,0.28,0.39
177,'2018/03/13 16:15:42:393',2,69,392,0.08,0.28,0.39
178,'2018/03/13 16:15:42:410',2,69,392,0.08,0.28,0.39
179,'2018/03/13 16:15:42:426',2,69,392,0.08,0.28,0.39
180,'2018/03/13 16:15:42:443',2,69,392,0.08,0.28,0.39
181,'2018/03/13 16:15:42:460',2,69,392,0.08,0.28,0.39
182,'2018/03/13 16:15:42:476',2,69,392,0.08,0.28,0.39
183,'2018/03/13 16:15:42:493',2,69,392,0.08,0.28,0.39
184,'2018/03/13 16:15:42:510',2,69,392,0.08,0.28,0.39
185,'2018/03/13 16:15:42:526',2,69,392,0.08,0.28,0.39
186,'2018/03/13 16:15:42:543',2,69,392,0.08,0.28,0.39
187,'2018/03/13 16:15:42:560',2,69,392,0.08,0.28,0.39
188,'2018/03/13 16:15:42:576',2,69,392,0.08,0.28,0.39
189,'2018/03/13 16:15:42:593',2,69,392,0.08,0.28,0.39
190,'2018/03/13 16:15:42:610',2,69,392,0.08,0.28,0.39
191,'2018/03/13 16:15:42:626',2,69,392,0.08,0.28,0.39
192,'2018/03/13 16:15:42:643',2,69,392,0.08,0.28,0.39
193,'2018/03/13 16:15:42:660',2,69,392,0.08,0.28,0.39
194,'2018/03/13 16:15:42:676',2,69,392,0.08,0.28,0.39
195,'2018/03/13 16:15:42:693',2,69,392,0.08,0.28,0.39
196,'2018/03/13 16:15:42:710',2,69,392,0.08,0.28,0.39
197,'2018/03/13 16:15:42:726',2,69,392,0.08,0.28,0.39
198,'2018/03/13 16:15:42:743',2,69,392,0.08,0.28,0.39
199,'2018/03/13 16:15:42:760',2,69,392,0.08,0.28,0.39
200,'2018/03/13 16:15:42:776',2,69,392,0.08,0.28,0.39
201,'2018/03/13 16:15:42:793',2,69,392,0.08,0.28,0.39
202,'2018/03/13 16:15:42:810',2,69,392,0.08,0.28,0.39
203,'2018/03/13 16:15:42:826',2,69,392,0.08,0.28,0.39
204,'2018/03/13 16:15:42:843',2,69,392,0.08,0.28,0.39
205,'2018/03/13 16:15:42:860',2,69,392,0.08,0.28,0.39
206,'2018/03/13 16:15:42:876',2,69,392,0.08,0.28,0.39
207,'2018/03/13 16:15:42:893',2,69,392,0.08,0.28,0.39
208,'2018/03/13 16:15:42:910',2,69,392,0.08,0.28,0.39
209,'2018/03/13 16:15:42:926',2,69,392,0.08,0.28,0.39
210,'2018/03/13 16:15:42:943',2,69,392,0.08,0.28,0.39
211,'2018/03/13 16:15:42:960',2,69,392,0.08,0.28,0.39
212,'2018/03/13 16:15:42:976',2,69,392,0.08,0.28,0.39
213,'2018/03/13 16:15:42:993',2,69,392,0.08,0.28,0.39
214,'2018/03/13 16:15:43:010',2,69,392,0.08,0.28,0.39
215,'2018/03/13 16:15:43:026',2,69,392,0.08,0.28,0.39
216,'2018/03/13 16:15:43:043',2,69,392,0.08,0.28,0.39
217,'2018/03/13 16:15:43:060',2,69,392,0.08,0.28,0.39
218,'2018/03/13 16:15:43:076',2,69,392,0.08,0.28,0.39
219,'2018/03/13 16:15:43:093',2,69,392,0.08,0.28,0.39
220,'2018/03/13 16:15:43:110',2,69,392,0.08,0.28,0.39
221,'2018/03/13 16:15:43:126',2,69,392,0.08,0.28,0.39
222,'2018/03/13 16:15:43:143',2,69,392,0.08,0.28,0.39
223,'2018/03/13 16:15:43:160',2,69,392,0.08,0.28,0.39
224,'2018/03/13 16:15:43:176',2,69,392,0.08,0.28,0.39
225,'2018/03/13 16:15:43:193',2,69,392,0.08,0.28,0.39
226,'2018/03/13 16:15:43:210',2,69,392,0.08,0.28,0.39
227,'2018/03/13 16:15:43:226',2,69,392,0.08,0.28,0.39
228,'2018/03/13 16:15:43:243',2,69,392,0.08,0.28,0.39
229,'2018/03/13 16:15:43:260',2,69,392,0.08,0.28,0.39
230,'2018/03/13 16:15:43:276',2,69,392,0.08,0.28,0.39
231,'2018/03/13 16:15:43:293',2,69,392,0.08,0.28,0.39
232,'2018/03/13 16:15:43:310',2,69,392,0.08,0.28,0.39
233,'2018/03/13 16:15:45:609',3,69,392,0.08,0.28,0.39
234,'2018/03/13 16:15:45:626',3,69,392,0.08,0.28,0.39
235,'2018/03/13 16:15:45:643',3,69,392,0.08,0.28,0.39
236,'2018/03/13 16:15:45:660',3,69,392,0.08,0.28,0.39
237,'2018/03/13 16:15:45:676',3,69,392,0.08,0.28,0.39
